source target weight
33296 36774 1
33296 57264 1
33310 39521 1
33310 49605 1
33310 51219 1
33310 5296 1
33310 56075 1
33374 51953 1
33374 7609 1
33435 44799 1
33435 58453 1
33479 47312 1
33479 63976 1
33479 7614 1
33508 36881 1
33508 48828 1
33545 45456 1
33558 9786 1
33582 34191 1
3359 40126 1
3362 529 1
33718 9995 1
33725 59016 1
33740 46910 1
33777 35334 1
33777 40409 1
33779 7938 1
33783 3656 1
33783 4502 1
33783 46896 1
33783 62791 1
33795 50986 1
33864 367 1
33864 63447 1
33903 54338 1
33923 35724 1
33923 59005 1
3398 651 1
34009 43412 1
34009 476 1
34009 50360 1
34009 51856 1
34031 43303 1
34031 49109 1
34031 56001 1
34098 60398 1
34130 39786 1
34130 55649 1
34130 60169 1
34130 64077 1
34144 43716 1
34157 54657 1
34157 7938 1
34171 60472 1
34173 37999 1
34191 60529 1
34207 59306 1
3424 5802 1
34327 53945 1
34327 56094 1
34400 35053 1
34400 62319 1
34400 8879 1
34423 48118 1
34478 46340 1
34478 5591 1
34510 48823 1
34510 50041 1
34513 41082 1
34513 9995 1
3452 60090 1
34560 50382 1
34579 40100 1
34625 46106 1
34661 4184 1
34661 44983 1
34666 36972 1
34666 43412 1
34678 3469 1
3469 53324 1
3469 63620 1
3469 6383 1
3469 64709 1
34763 42907 1
34880 55563 1
34906 41026 1
34906 46910 1
34907 45067 1
34907 46092 1
34959 64816 1
34959 6884 1
34973 36200 1
34973 65400 1
35035 52655 1
35035 64355 1
35053 43514 1
35053 64024 1
35179 9009 1
35233 63039 1
35260 4177 1
35283 35894 1
35283 7920 1
3533 65108 1
35334 8027 1
3537 53213 1
35503 36881 1
35507 37800 1
35556 39916 1
35556 44908 1
35568 50306 1
35568 5612 1
35568 59718 1
35663 39786 1
35685 7898 1
35706 367 1
35706 50029 1
35724 4568 1
35724 63965 1
35737 51786 1
35754 58833 1
35851 47484 1
35851 60592 1
35894 58649 1
35910 63635 1
35958 40508 1
35958 46897 1
35992 43822 1
35992 5126 1
36047 63048 1
36107 51213 1
36107 60989 1
36121 57362 1
36200 63027 1
36221 9206 1
36222 47030 1
36222 52632 1
36225 49568 1
36225 5629 1
36226 40705 1
36226 5972 1
36281 45436 1
36287 54307 1
36287 62744 1
36287 64235 1
3634 41819 1
3634 62094 1
36371 37175 1
36412 5972 1
3644 39678 1
3644 5233 1
3644 57279 1
36452 46842 1
36452 63398 1
36490 38864 1
36542 37569 1
36542 4397 1
36543 49412 1
36543 6981 1
3656 58244 1
36585 42649 1
36678 39841 1
36678 42760 1
36678 63425 1
36678 7444 1
36687 46344 1
36687 56855 1
36704 54872 1
36704 9171 1
36736 7187 1
36801 529 1
36849 64769 1
36858 39814 1
36858 53456 1
36858 60405 1
36858 60440 1
36858 61653 1
36859 55926 1
36877 49978 1
36949 6712 1
36972 43303 1
37078 42731 1
37078 8643 1
37163 885 1
37326 38508 1
37326 48109 1
37501 56355 1
37501 63282 1
37504 41866 1
37504 45491 1
37504 903 1
37569 57264 1
37575 49807 1
37584 4833 1
37639 47427 1
37639 51559 1
37647 56460 1
37647 61636 1
37663 44988 1
37663 58968 1
37671 48778 1
37671 61320 1
37690 48423 1
37800 4378 1
37800 61262 1
37884 53793 1
37887 63727 1
37895 5103 1
37999 40766 1
38023 40645 1
38023 57266 1
38048 55373 1
38048 55906 1
38129 44683 1
38129 53992 1
38129 63639 1
38148 44955 1
38149 55750 1
38176 49651 1
38176 8948 1
38190 61653 1
38246 51213 1
38344 50338 1
38348 63843 1
38450 51291 1
38516 46726 1
38516 62303 1
38520 56648 1
38538 55854 1
38539 54713 1
38539 5613 1
3863 64509 1
38662 50338 1
38662 5616 1
38662 63795 1
38662 6538 1
38664 56460 1
38664 61636 1
38772 8544 1
38777 58449 1
38789 8624 1
38805 38900 1
38864 56174 1
38906 46636 1
38906 50570 1
38922 56982 1
38922 57923 1
38947 45329 1
38989 4177 1
38995 46277 1
38995 8001 1
39023 56355 1
39023 58831 1
39085 5408 1
39211 48513 1
39211 5612 1
39443 56276 1
39521 49779 1
39521 51146 1
39524 49978 1
39530 9171 1
39648 60398 1
39678 64221 1
39718 5616 1
39718 56646 1
39718 59606 1
39725 50986 1
39725 63357 1
39725 63649 1
39743 54144 1
39761 48282 1
39768 58449 1
39773 43162 1
39773 62103 1
39821 50459 1
39821 52904 1
39821 7618 1
39841 52412 1
39841 5462 1
39841 63447 1
39861 49978 1
3992 49807 1
39938 54868 1
39938 9535 1
39986 42436 1
40075 42485 1
40075 49534 1
4011 45838 1
4011 5823 1
4011 9355 1
40132 58854 1
40135 5237 1
40135 9262 1
40287 52423 1
40291 885 1
4036 41635 1
40366 42760 1
40366 57457 1
40366 58763 1
40366 6764 1
40366 885 1
40409 9055 1
40535 58449 1
40535 7828 1
40609 8833 1
40644 42686 1
40644 60949 1
40653 42800 1
40653 49412 1
40653 53793 1
40653 62108 1
40705 53732 1
40743 55307 1
40743 64241 1
40751 6233 1
40776 53018 1
40776 58402 1
40840 41476 1
40841 53292 1
40841 6741 1
40867 42911 1
40867 476 1
409 61525 1
40907 43374 1
40927 44799 1
40927 61308 1
41047 42720 1
41047 48823 1
41082 63033 1
41250 50338 1
41250 62712 1
41251 55993 1
41380 57819 1
41380 65224 1
41420 43491 1
41472 44799 1
41472 58453 1
41472 61471 1
41476 52848 1
41536 465 1
41536 62712 1
41595 8620 1
41599 55926 1
41635 49651 1
41635 64239 1
41689 45272 1
41689 51220 1
41689 57248 1
41819 49978 1
4184 44955 1
41866 60942 1
41866 63843 1
41866 9206 1
41970 64210 1
41989 47362 1
420 49254 1
420 9294 1
42006 49605 1
42009 9695 1
42041 8930 1
4207 52099 1
42104 49621 1
42104 57080 1
42133 50690 1
42178 5237 1
4219 48698 1
4219 56090 1
42343 58402 1
42443 53213 1
42485 7918 1
42623 54338 1
42623 60737 1
42649 6785 1
42668 43689 1
4270 52655 1
4270 64355 1
42720 8566 1
42744 52522 1
42760 46340 1
42760 5456 1
42760 55332 1
42760 56029 1
42795 4432 1
42800 46756 1
42800 487 1
42804 49308 1
42804 63228 1
42911 47389 1
42964 50338 1
42964 65224 1
42981 53802 1
42981 60648 1
4300 64210 1
4300 65159 1
43057 651 1
43316 47065 1
43328 59699 1
4336 62042 1
4336 7082 1
43374 49178 1
43374 64816 1
43385 58474 1
43413 49343 1
43457 46694 1
43514 57839 1
43608 63439 1
4367 44184 1
4367 55804 1
4367 56158 1
4367 60989 1
43684 59766 1
43689 53677 1
43716 52412 1
43787 56589 1
4397 7938 1
44134 47422 1
44183 7555 1
44184 61804 1
44184 63447 1
44202 58556 1
44306 8458 1
4432 7503 1
44339 5022 1
44339 6615 1
44360 6685 1
44360 9370 1
44362 56671 1
444 52904 1
444 61306 1
44429 53118 1
44429 55649 1
44529 49254 1
44529 6237 1
44562 45366 1
44606 50862 1
44624 59928 1
44683 45272 1
44683 55236 1
44683 58229 1
44799 54694 1
44824 6616 1
44922 861 1
44924 55114 1
44967 50422 1
44967 7374 1
4502 49515 1
45033 53324 1
45035 465 1
45035 50459 1
45035 59370 1
45035 7618 1
45227 48807 1
45227 50306 1
45227 62694 1
45272 53992 1
45272 8640 1
45317 55866 1
45341 50340 1
45341 60031 1
45360 54868 1
45360 57030 1
45436 50150 1
4546 61689 1
4546 9055 1
45486 7444 1
45491 7085 1
45593 53114 1
45608 52522 1
4568 9294 1
4573 9786 1
45810 5018 1
45838 8640 1
45887 48828 1
46092 51923 1
46092 60090 1
46092 60247 1
46106 47743 1
46127 8500 1
46136 58649 1
46136 64501 1
46277 49900 1
46277 5629 1
46277 56295 1
46277 60592 1
46289 51212 1
46289 58069 1
46289 5823 1
46291 544 1
46291 61039 1
46340 51954 1
46340 54954 1
46340 60398 1
46408 47362 1
46408 54338 1
46469 61264 1
465 65033 1
4656 59866 1
46578 57061 1
